periodName,period,value,year,seriesID,region
August,08,5.4,2007,LAURD830000000000003,3
July,07,5.8,2007,LAURD830000000000003,3
June,06,5.7,2007,LAURD830000000000003,3
May,05,5.1,2007,LAURD830000000000003,3
April,04,5.3,2007,LAURD830000000000003,3
March,03,5.5,2007,LAURD830000000000003,3
February,02,5.9,2007,LAURD830000000000003,3
January,01,6.1,2007,LAURD830000000000003,3
December,12,5.1,2006,LAURD830000000000003,3
November,11,4.9,2006,LAURD830000000000003,3
October,10,4.6,2006,LAURD830000000000003,3
September,09,5.0,2006,LAURD830000000000003,3
August,08,5.4,2006,LAURD830000000000003,3
July,07,5.8,2006,LAURD830000000000003,3
June,06,5.5,2006,LAURD830000000000003,3
May,05,5.2,2006,LAURD830000000000003,3
April,04,5.4,2006,LAURD830000000000003,3
March,03,5.7,2006,LAURD830000000000003,3
February,02,6.1,2006,LAURD830000000000003,3
January,01,5.9,2006,LAURD830000000000003,3
December,12,5.4,2005,LAURD830000000000003,3
November,11,5.4,2005,LAURD830000000000003,3
October,10,5.1,2005,LAURD830000000000003,3
September,09,5.4,2005,LAURD830000000000003,3
August,08,5.4,2005,LAURD830000000000003,3
July,07,5.9,2005,LAURD830000000000003,3
June,06,6.0,2005,LAURD830000000000003,3
May,05,5.7,2005,LAURD830000000000003,3
April,04,5.8,2005,LAURD830000000000003,3
March,03,6.4,2005,LAURD830000000000003,3
February,02,6.9,2005,LAURD830000000000003,3
January,01,6.6,2005,LAURD830000000000003,3
December,12,5.9,2004,LAURD830000000000003,3
November,11,5.8,2004,LAURD830000000000003,3
October,10,5.7,2004,LAURD830000000000003,3
September,09,5.6,2004,LAURD830000000000003,3
August,08,5.9,2004,LAURD830000000000003,3
July,07,6.4,2004,LAURD830000000000003,3
June,06,6.4,2004,LAURD830000000000003,3
May,05,5.9,2004,LAURD830000000000003,3
April,04,5.9,2004,LAURD830000000000003,3
March,03,6.8,2004,LAURD830000000000003,3
February,02,6.7,2004,LAURD830000000000003,3
January,01,6.8,2004,LAURD830000000000003,3
December,12,5.8,2003,LAURD830000000000003,3
November,11,5.8,2003,LAURD830000000000003,3
October,10,5.7,2003,LAURD830000000000003,3
September,09,6.0,2003,LAURD830000000000003,3
August,08,6.4,2003,LAURD830000000000003,3
July,07,6.9,2003,LAURD830000000000003,3
June,06,7.1,2003,LAURD830000000000003,3
May,05,6.2,2003,LAURD830000000000003,3
April,04,6.2,2003,LAURD830000000000003,3
March,03,6.8,2003,LAURD830000000000003,3
February,02,6.9,2003,LAURD830000000000003,3
January,01,6.8,2003,LAURD830000000000003,3
December,12,5.8,2002,LAURD830000000000003,3
November,11,5.6,2002,LAURD830000000000003,3
October,10,5.2,2002,LAURD830000000000003,3
September,09,5.2,2002,LAURD830000000000003,3
August,08,5.7,2002,LAURD830000000000003,3
July,07,6.3,2002,LAURD830000000000003,3
June,06,6.3,2002,LAURD830000000000003,3
May,05,5.7,2002,LAURD830000000000003,3
April,04,6.0,2002,LAURD830000000000003,3
March,03,6.5,2002,LAURD830000000000003,3
February,02,6.5,2002,LAURD830000000000003,3
January,01,6.7,2002,LAURD830000000000003,3
December,12,8.2,2011,LAURD880000000000003,8
November,11,8.2,2011,LAURD880000000000003,8
October,10,8.3,2011,LAURD880000000000003,8
September,09,8.5,2011,LAURD880000000000003,8
August,08,8.9,2011,LAURD880000000000003,8
July,07,9.0,2011,LAURD880000000000003,8
June,06,9.2,2011,LAURD880000000000003,8
May,05,8.7,2011,LAURD880000000000003,8
April,04,8.8,2011,LAURD880000000000003,8
March,03,9.2,2011,LAURD880000000000003,8
February,02,9.4,2011,LAURD880000000000003,8
January,01,9.7,2011,LAURD880000000000003,8
December,12,9.2,2010,LAURD880000000000003,8
November,11,9.3,2010,LAURD880000000000003,8
October,10,9.1,2010,LAURD880000000000003,8
September,09,9.3,2010,LAURD880000000000003,8
August,08,9.5,2010,LAURD880000000000003,8
July,07,9.6,2010,LAURD880000000000003,8
June,06,9.7,2010,LAURD880000000000003,8
May,05,9.3,2010,LAURD880000000000003,8
April,04,9.4,2010,LAURD880000000000003,8
March,03,9.8,2010,LAURD880000000000003,8
February,02,9.9,2010,LAURD880000000000003,8
January,01,10.0,2010,LAURD880000000000003,8
December,12,9.3,2009,LAURD880000000000003,8
November,11,9.0,2009,LAURD880000000000003,8
October,10,9.0,2009,LAURD880000000000003,8
September,09,8.9,2009,LAURD880000000000003,8
August,08,9.0,2009,LAURD880000000000003,8
July,07,9.0,2009,LAURD880000000000003,8
June,06,9.0,2009,LAURD880000000000003,8
May,05,8.3,2009,LAURD880000000000003,8
April,04,8.0,2009,LAURD880000000000003,8
March,03,8.2,2009,LAURD880000000000003,8
February,02,7.9,2009,LAURD880000000000003,8
January,01,7.7,2009,LAURD880000000000003,8
December,12,6.6,2008,LAURD880000000000003,8
November,11,6.1,2008,LAURD880000000000003,8
October,10,5.7,2008,LAURD880000000000003,8
September,09,5.6,2008,LAURD880000000000003,8
August,08,5.6,2008,LAURD880000000000003,8
July,07,5.4,2008,LAURD880000000000003,8
June,06,5.2,2008,LAURD880000000000003,8
May,05,4.6,2008,LAURD880000000000003,8
April,04,4.4,2008,LAURD880000000000003,8
March,03,4.5,2008,LAURD880000000000003,8
February,02,4.4,2008,LAURD880000000000003,8
January,01,4.5,2008,LAURD880000000000003,8
December,12,3.9,2007,LAURD880000000000003,8
November,11,3.7,2007,LAURD880000000000003,8
October,10,3.5,2007,LAURD880000000000003,8
September,09,3.5,2007,LAURD880000000000003,8
August,08,3.7,2007,LAURD880000000000003,8
July,07,3.7,2007,LAURD880000000000003,8
June,06,3.7,2007,LAURD880000000000003,8
May,05,3.2,2007,LAURD880000000000003,8
April,04,3.4,2007,LAURD880000000000003,8
March,03,3.6,2007,LAURD880000000000003,8
February,02,3.8,2007,LAURD880000000000003,8
January,01,4.0,2007,LAURD880000000000003,8
December,12,3.4,2006,LAURD880000000000003,8
November,11,3.5,2006,LAURD880000000000003,8
October,10,3.4,2006,LAURD880000000000003,8
September,09,3.7,2006,LAURD880000000000003,8
August,08,4.0,2006,LAURD880000000000003,8
July,07,4.1,2006,LAURD880000000000003,8
June,06,4.2,2006,LAURD880000000000003,8
May,05,3.8,2006,LAURD880000000000003,8
April,04,4.0,2006,LAURD880000000000003,8
March,03,4.3,2006,LAURD880000000000003,8
February,02,4.4,2006,LAURD880000000000003,8
January,01,4.6,2006,LAURD880000000000003,8
December,12,4.1,2005,LAURD880000000000003,8
November,11,4.2,2005,LAURD880000000000003,8
October,10,4.1,2005,LAURD880000000000003,8
September,09,4.3,2005,LAURD880000000000003,8
August,08,4.5,2005,LAURD880000000000003,8
July,07,4.7,2005,LAURD880000000000003,8
June,06,4.8,2005,LAURD880000000000003,8
May,05,4.4,2005,LAURD880000000000003,8
April,04,4.6,2005,LAURD880000000000003,8
March,03,4.9,2005,LAURD880000000000003,8
February,02,5.0,2005,LAURD880000000000003,8
January,01,5.2,2005,LAURD880000000000003,8
December,12,4.6,2004,LAURD880000000000003,8
November,11,4.6,2004,LAURD880000000000003,8
October,10,4.6,2004,LAURD880000000000003,8
September,09,4.7,2004,LAURD880000000000003,8
August,08,4.9,2004,LAURD880000000000003,8
July,07,5.1,2004,LAURD880000000000003,8
June,06,5.3,2004,LAURD880000000000003,8
May,05,4.8,2004,LAURD880000000000003,8
April,04,5.0,2004,LAURD880000000000003,8
March,03,5.5,2004,LAURD880000000000003,8
February,02,5.5,2004,LAURD880000000000003,8
January,01,5.8,2004,LAURD880000000000003,8
December,12,5.1,2003,LAURD880000000000003,8
November,11,5.2,2003,LAURD880000000000003,8
October,10,5.2,2003,LAURD880000000000003,8
September,09,5.4,2003,LAURD880000000000003,8
August,08,5.7,2003,LAURD880000000000003,8
July,07,5.8,2003,LAURD880000000000003,8
June,06,6.0,2003,LAURD880000000000003,8
May,05,5.4,2003,LAURD880000000000003,8
April,04,5.6,2003,LAURD880000000000003,8
March,03,5.9,2003,LAURD880000000000003,8
February,02,5.9,2003,LAURD880000000000003,8
January,01,6.2,2003,LAURD880000000000003,8
December,12,5.5,2002,LAURD880000000000003,8
November,11,5.5,2002,LAURD880000000000003,8
October,10,5.3,2002,LAURD880000000000003,8
September,09,5.4,2002,LAURD880000000000003,8
August,08,5.7,2002,LAURD880000000000003,8
July,07,5.8,2002,LAURD880000000000003,8
June,06,5.9,2002,LAURD880000000000003,8
May,05,5.4,2002,LAURD880000000000003,8
April,04,5.6,2002,LAURD880000000000003,8
March,03,5.9,2002,LAURD880000000000003,8
February,02,5.8,2002,LAURD880000000000003,8
January,01,6.0,2002,LAURD880000000000003,8
December,12,8.6,2011,LAURD850000000000003,5
November,11,8.6,2011,LAURD850000000000003,5
October,10,8.9,2011,LAURD850000000000003,5
September,09,9.3,2011,LAURD850000000000003,5
August,08,9.6,2011,LAURD850000000000003,5
July,07,9.7,2011,LAURD850000000000003,5
June,06,9.7,2011,LAURD850000000000003,5
May,05,9.1,2011,LAURD850000000000003,5
April,04,8.9,2011,LAURD850000000000003,5
March,03,9.2,2011,LAURD850000000000003,5
February,02,9.6,2011,LAURD850000000000003,5
January,01,9.9,2011,LAURD850000000000003,5
December,12,9.6,2010,LAURD850000000000003,5
November,11,9.8,2010,LAURD850000000000003,5
October,10,9.5,2010,LAURD850000000000003,5
September,09,9.7,2010,LAURD850000000000003,5
August,08,10.0,2010,LAURD850000000000003,5
July,07,10.0,2010,LAURD850000000000003,5
June,06,9.9,2010,LAURD850000000000003,5
May,05,9.6,2010,LAURD850000000000003,5
April,04,9.6,2010,LAURD850000000000003,5
March,03,10.2,2010,LAURD850000000000003,5
February,02,10.5,2010,LAURD850000000000003,5
January,01,10.6,2010,LAURD850000000000003,5
December,12,9.9,2009,LAURD850000000000003,5
November,11,9.7,2009,LAURD850000000000003,5
October,10,9.8,2009,LAURD850000000000003,5
September,09,9.7,2009,LAURD850000000000003,5
August,08,9.8,2009,LAURD850000000000003,5
July,07,9.8,2009,LAURD850000000000003,5
June,06,9.8,2009,LAURD850000000000003,5
May,05,9.2,2009,LAURD850000000000003,5
April,04,8.8,2009,LAURD850000000000003,5
March,03,9.0,2009,LAURD850000000000003,5
February,02,9.0,2009,LAURD850000000000003,5
January,01,8.6,2009,LAURD850000000000003,5
December,12,7.4,2008,LAURD850000000000003,5
November,11,6.8,2008,LAURD850000000000003,5
October,10,6.3,2008,LAURD850000000000003,5
September,09,6.1,2008,LAURD850000000000003,5
August,08,6.2,2008,LAURD850000000000003,5
July,07,5.9,2008,LAURD850000000000003,5
June,06,5.6,2008,LAURD850000000000003,5
May,05,5.1,2008,LAURD850000000000003,5
April,04,4.5,2008,LAURD850000000000003,5
March,03,4.7,2008,LAURD850000000000003,5
February,02,4.8,2008,LAURD850000000000003,5
January,01,4.8,2008,LAURD850000000000003,5
December,12,4.5,2007,LAURD850000000000003,5
November,11,4.2,2007,LAURD850000000000003,5
October,10,4.2,2007,LAURD850000000000003,5
September,09,4.3,2007,LAURD850000000000003,5
August,08,4.3,2007,LAURD850000000000003,5
July,07,4.5,2007,LAURD850000000000003,5
June,06,4.3,2007,LAURD850000000000003,5
May,05,3.8,2007,LAURD850000000000003,5
April,04,3.7,2007,LAURD850000000000003,5
March,03,3.8,2007,LAURD850000000000003,5
February,02,4.1,2007,LAURD850000000000003,5
January,01,4.3,2007,LAURD850000000000003,5
December,12,3.8,2006,LAURD850000000000003,5
November,11,3.9,2006,LAURD850000000000003,5
October,10,3.9,2006,LAURD850000000000003,5
September,09,4.1,2006,LAURD850000000000003,5
August,08,4.3,2006,LAURD850000000000003,5
July,07,4.5,2006,LAURD850000000000003,5
June,06,4.3,2006,LAURD850000000000003,5
May,05,4.0,2006,LAURD850000000000003,5
April,04,3.8,2006,LAURD850000000000003,5
March,03,3.9,2006,LAURD850000000000003,5
February,02,4.2,2006,LAURD850000000000003,5
January,01,4.2,2006,LAURD850000000000003,5
December,12,4.0,2005,LAURD850000000000003,5
November,11,4.3,2005,LAURD850000000000003,5
October,10,4.3,2005,LAURD850000000000003,5
September,09,4.5,2005,LAURD850000000000003,5
August,08,4.5,2005,LAURD850000000000003,5
July,07,4.7,2005,LAURD850000000000003,5
June,06,4.8,2005,LAURD850000000000003,5
May,05,4.4,2005,LAURD850000000000003,5
April,04,4.4,2005,LAURD850000000000003,5
March,03,4.6,2005,LAURD850000000000003,5
February,02,5.0,2005,LAURD850000000000003,5
January,01,5.0,2005,LAURD850000000000003,5
December,12,4.6,2004,LAURD850000000000003,5
November,11,4.7,2004,LAURD850000000000003,5
October,10,4.6,2004,LAURD850000000000003,5
September,09,4.6,2004,LAURD850000000000003,5
August,08,4.9,2004,LAURD850000000000003,5
July,07,5.1,2004,LAURD850000000000003,5
June,06,5.2,2004,LAURD850000000000003,5
May,05,4.7,2004,LAURD850000000000003,5
April,04,4.5,2004,LAURD850000000000003,5
March,03,4.9,2004,LAURD850000000000003,5
February,02,5.0,2004,LAURD850000000000003,5
January,01,5.2,2004,LAURD850000000000003,5
December,12,4.6,2003,LAURD850000000000003,5
November,11,4.9,2003,LAURD850000000000003,5
October,10,4.9,2003,LAURD850000000000003,5
September,09,5.1,2003,LAURD850000000000003,5
August,08,5.4,2003,LAURD850000000000003,5
July,07,5.6,2003,LAURD850000000000003,5
June,06,5.9,2003,LAURD850000000000003,5
May,05,5.2,2003,LAURD850000000000003,5
April,04,5.1,2003,LAURD850000000000003,5
March,03,5.2,2003,LAURD850000000000003,5
February,02,5.4,2003,LAURD850000000000003,5
January,01,5.6,2003,LAURD850000000000003,5
December,12,5.2,2002,LAURD850000000000003,5
November,11,5.2,2002,LAURD850000000000003,5
October,10,5.0,2002,LAURD850000000000003,5
September,09,5.1,2002,LAURD850000000000003,5
August,08,5.4,2002,LAURD850000000000003,5
July,07,5.5,2002,LAURD850000000000003,5
June,06,5.7,2002,LAURD850000000000003,5
May,05,5.2,2002,LAURD850000000000003,5
April,04,5.3,2002,LAURD850000000000003,5
March,03,5.5,2002,LAURD850000000000003,5
February,02,5.6,2002,LAURD850000000000003,5
January,01,5.8,2002,LAURD850000000000003,5
December,12,5.8,2011,LAURD840000000000003,4
November,11,5.6,2011,LAURD840000000000003,4
October,10,5.8,2011,LAURD840000000000003,4
September,09,6.1,2011,LAURD840000000000003,4
August,08,6.5,2011,LAURD840000000000003,4
July,07,6.7,2011,LAURD840000000000003,4
June,06,6.8,2011,LAURD840000000000003,4
May,05,6.4,2011,LAURD840000000000003,4
April,04,6.4,2011,LAURD840000000000003,4
March,03,7.2,2011,LAURD840000000000003,4
February,02,7.5,2011,LAURD840000000000003,4
January,01,7.7,2011,LAURD840000000000003,4
December,12,6.9,2010,LAURD840000000000003,4
November,11,6.8,2010,LAURD840000000000003,4
October,10,6.6,2010,LAURD840000000000003,4
September,09,6.9,2010,LAURD840000000000003,4
August,08,7.2,2010,LAURD840000000000003,4
July,07,7.3,2010,LAURD840000000000003,4
June,06,7.2,2010,LAURD840000000000003,4
May,05,6.9,2010,LAURD840000000000003,4
April,04,7.2,2010,LAURD840000000000003,4
March,03,8.0,2010,LAURD840000000000003,4
February,02,8.2,2010,LAURD840000000000003,4
January,01,8.2,2010,LAURD840000000000003,4
December,12,7.3,2009,LAURD840000000000003,4
November,11,7.0,2009,LAURD840000000000003,4
October,10,7.0,2009,LAURD840000000000003,4
September,09,7.2,2009,LAURD840000000000003,4
August,08,7.5,2009,LAURD840000000000003,4
July,07,7.6,2009,LAURD840000000000003,4
June,06,7.7,2009,LAURD840000000000003,4
May,05,7.2,2009,LAURD840000000000003,4
April,04,7.0,2009,LAURD840000000000003,4
March,03,7.7,2009,LAURD840000000000003,4
February,02,7.6,2009,LAURD840000000000003,4
January,01,7.3,2009,LAURD840000000000003,4
December,12,5.9,2008,LAURD840000000000003,4
November,11,5.2,2008,LAURD840000000000003,4
October,10,4.9,2008,LAURD840000000000003,4
September,09,5.0,2008,LAURD840000000000003,4
August,08,5.1,2008,LAURD840000000000003,4
July,07,5.1,2008,LAURD840000000000003,4
June,06,4.9,2008,LAURD840000000000003,4
May,05,4.5,2008,LAURD840000000000003,4
April,04,4.2,2008,LAURD840000000000003,4
March,03,4.9,2008,LAURD840000000000003,4
February,02,4.9,2008,LAURD840000000000003,4
January,01,5.0,2008,LAURD840000000000003,4
December,12,4.4,2007,LAURD840000000000003,4
November,11,4.0,2007,LAURD840000000000003,4
October,10,4.0,2007,LAURD840000000000003,4
September,09,4.2,2007,LAURD840000000000003,4
August,08,4.2,2007,LAURD840000000000003,4
July,07,4.3,2007,LAURD840000000000003,4
June,06,4.4,2007,LAURD840000000000003,4
May,05,3.9,2007,LAURD840000000000003,4
April,04,4.0,2007,LAURD840000000000003,4
March,03,4.5,2007,LAURD840000000000003,4
February,02,4.8,2007,LAURD840000000000003,4
January,01,4.8,2007,LAURD840000000000003,4
December,12,4.0,2006,LAURD840000000000003,4
November,11,3.8,2006,LAURD840000000000003,4
October,10,3.7,2006,LAURD840000000000003,4
September,09,3.9,2006,LAURD840000000000003,4
August,08,4.0,2006,LAURD840000000000003,4
July,07,4.1,2006,LAURD840000000000003,4
June,06,4.1,2006,LAURD840000000000003,4
May,05,3.6,2006,LAURD840000000000003,4
April,04,3.9,2006,LAURD840000000000003,4
March,03,4.5,2006,LAURD840000000000003,4
February,02,4.8,2006,LAURD840000000000003,4
January,01,4.8,2006,LAURD840000000000003,4
December,12,4.2,2005,LAURD840000000000003,4
November,11,4.2,2005,LAURD840000000000003,4
October,10,3.9,2005,LAURD840000000000003,4
September,09,4.1,2005,LAURD840000000000003,4
August,08,4.1,2005,LAURD840000000000003,4
July,07,4.4,2005,LAURD840000000000003,4
June,06,4.6,2005,LAURD840000000000003,4
May,05,4.3,2005,LAURD840000000000003,4
April,04,4.5,2005,LAURD840000000000003,4
March,03,5.2,2005,LAURD840000000000003,4
February,02,5.4,2005,LAURD840000000000003,4
January,01,5.5,2005,LAURD840000000000003,4
December,12,4.7,2004,LAURD840000000000003,4
November,11,4.5,2004,LAURD840000000000003,4
October,10,4.4,2004,LAURD840000000000003,4
September,09,4.7,2004,LAURD840000000000003,4
August,08,4.9,2004,LAURD840000000000003,4
July,07,5.0,2004,LAURD840000000000003,4
June,06,5.1,2004,LAURD840000000000003,4
May,05,4.6,2004,LAURD840000000000003,4
April,04,4.7,2004,LAURD840000000000003,4
March,03,5.5,2004,LAURD840000000000003,4
February,02,5.4,2004,LAURD840000000000003,4
January,01,5.6,2004,LAURD840000000000003,4
December,12,4.7,2003,LAURD840000000000003,4
November,11,4.6,2003,LAURD840000000000003,4
October,10,4.5,2003,LAURD840000000000003,4
September,09,4.8,2003,LAURD840000000000003,4
August,08,4.9,2003,LAURD840000000000003,4
July,07,5.1,2003,LAURD840000000000003,4
June,06,5.3,2003,LAURD840000000000003,4
May,05,4.7,2003,LAURD840000000000003,4
April,04,4.8,2003,LAURD840000000000003,4
March,03,5.2,2003,LAURD840000000000003,4
February,02,5.2,2003,LAURD840000000000003,4
January,01,5.4,2003,LAURD840000000000003,4
December,12,4.4,2002,LAURD840000000000003,4
November,11,4.2,2002,LAURD840000000000003,4
October,10,4.0,2002,LAURD840000000000003,4
September,09,4.2,2002,LAURD840000000000003,4
August,08,4.4,2002,LAURD840000000000003,4
July,07,4.7,2002,LAURD840000000000003,4
June,06,4.8,2002,LAURD840000000000003,4
May,05,4.2,2002,LAURD840000000000003,4
April,04,4.6,2002,LAURD840000000000003,4
March,03,5.2,2002,LAURD840000000000003,4
February,02,5.1,2002,LAURD840000000000003,4
January,01,5.2,2002,LAURD840000000000003,4
December,12,7.0,2011,LAURD810000000000003,1
November,11,7.0,2011,LAURD810000000000003,1
October,10,7.1,2011,LAURD810000000000003,1
September,09,7.4,2011,LAURD810000000000003,1
August,08,7.5,2011,LAURD810000000000003,1
July,07,7.8,2011,LAURD810000000000003,1
June,06,7.8,2011,LAURD810000000000003,1
May,05,7.6,2011,LAURD810000000000003,1
April,04,7.7,2011,LAURD810000000000003,1
March,03,8.2,2011,LAURD810000000000003,1
February,02,8.6,2011,LAURD810000000000003,1
January,01,8.8,2011,LAURD810000000000003,1
December,12,7.8,2010,LAURD810000000000003,1
November,11,7.9,2010,LAURD810000000000003,1
October,10,7.7,2010,LAURD810000000000003,1
September,09,8.0,2010,LAURD810000000000003,1
August,08,8.1,2010,LAURD810000000000003,1
July,07,8.4,2010,LAURD810000000000003,1
June,06,8.3,2010,LAURD810000000000003,1
May,05,8.2,2010,LAURD810000000000003,1
April,04,8.4,2010,LAURD810000000000003,1
March,03,8.9,2010,LAURD810000000000003,1
February,02,9.2,2010,LAURD810000000000003,1
January,01,9.4,2010,LAURD810000000000003,1
December,12,8.2,2009,LAURD810000000000003,1
November,11,8.1,2009,LAURD810000000000003,1
October,10,8.0,2009,LAURD810000000000003,1
September,09,8.2,2009,LAURD810000000000003,1
August,08,8.1,2009,LAURD810000000000003,1
July,07,8.3,2009,LAURD810000000000003,1
June,06,8.2,2009,LAURD810000000000003,1
May,05,7.8,2009,LAURD810000000000003,1
April,04,7.7,2009,LAURD810000000000003,1
March,03,8.0,2009,LAURD810000000000003,1
February,02,8.0,2009,LAURD810000000000003,1
January,01,7.8,2009,LAURD810000000000003,1
December,12,6.4,2008,LAURD810000000000003,1
November,11,6.0,2008,LAURD810000000000003,1
October,10,5.6,2008,LAURD810000000000003,1
September,09,5.7,2008,LAURD810000000000003,1
August,08,5.6,2008,LAURD810000000000003,1
July,07,5.6,2008,LAURD810000000000003,1
June,06,5.4,2008,LAURD810000000000003,1
May,05,5.1,2008,LAURD810000000000003,1
April,04,4.8,2008,LAURD810000000000003,1
March,03,5.2,2008,LAURD810000000000003,1
February,02,5.3,2008,LAURD810000000000003,1
January,01,5.4,2008,LAURD810000000000003,1
December,12,4.4,2007,LAURD810000000000003,1
November,11,4.3,2007,LAURD810000000000003,1
October,10,4.1,2007,LAURD810000000000003,1
September,09,4.3,2007,LAURD810000000000003,1
August,08,4.3,2007,LAURD810000000000003,1
July,07,4.6,2007,LAURD810000000000003,1
June,06,4.5,2007,LAURD810000000000003,1
May,05,4.3,2007,LAURD810000000000003,1
April,04,4.3,2007,LAURD810000000000003,1
March,03,4.7,2007,LAURD810000000000003,1
February,02,5.0,2007,LAURD810000000000003,1
January,01,5.2,2007,LAURD810000000000003,1
December,12,4.2,2006,LAURD810000000000003,1
November,11,4.2,2006,LAURD810000000000003,1
October,10,4.0,2006,LAURD810000000000003,1
September,09,4.4,2006,LAURD810000000000003,1
August,08,4.4,2006,LAURD810000000000003,1
July,07,4.7,2006,LAURD810000000000003,1
June,06,4.6,2006,LAURD810000000000003,1
May,05,4.4,2006,LAURD810000000000003,1
April,04,4.4,2006,LAURD810000000000003,1
March,03,4.8,2006,LAURD810000000000003,1
February,02,5.1,2006,LAURD810000000000003,1
January,01,5.2,2006,LAURD810000000000003,1
December,12,4.3,2005,LAURD810000000000003,1
November,11,4.4,2005,LAURD810000000000003,1
October,10,4.2,2005,LAURD810000000000003,1
September,09,4.6,2005,LAURD810000000000003,1
August,08,4.4,2005,LAURD810000000000003,1
July,07,4.8,2005,LAURD810000000000003,1
June,06,4.8,2005,LAURD810000000000003,1
May,05,4.5,2005,LAURD810000000000003,1
April,04,4.6,2005,LAURD810000000000003,1
March,03,5.1,2005,LAURD810000000000003,1
February,02,5.3,2005,LAURD810000000000003,1
January,01,5.3,2005,LAURD810000000000003,1
December,12,4.3,2004,LAURD810000000000003,1
November,11,4.3,2004,LAURD810000000000003,1
October,10,4.2,2004,LAURD810000000000003,1
September,09,4.5,2004,LAURD810000000000003,1
August,08,4.6,2004,LAURD810000000000003,1
July,07,4.9,2004,LAURD810000000000003,1
June,06,5.0,2004,LAURD810000000000003,1
May,05,4.8,2004,LAURD810000000000003,1
April,04,4.8,2004,LAURD810000000000003,1
March,03,5.4,2004,LAURD810000000000003,1
February,02,5.6,2004,LAURD810000000000003,1
January,01,5.8,2004,LAURD810000000000003,1
December,12,4.8,2003,LAURD810000000000003,1
November,11,5.0,2003,LAURD810000000000003,1
October,10,4.9,2003,LAURD810000000000003,1
September,09,5.2,2003,LAURD810000000000003,1
August,08,5.3,2003,LAURD810000000000003,1
July,07,5.5,2003,LAURD810000000000003,1
June,06,5.6,2003,LAURD810000000000003,1
May,05,5.2,2003,LAURD810000000000003,1
April,04,5.3,2003,LAURD810000000000003,1
March,03,5.7,2003,LAURD810000000000003,1
February,02,5.8,2003,LAURD810000000000003,1
January,01,5.9,2003,LAURD810000000000003,1
December,12,4.9,2002,LAURD810000000000003,1
November,11,4.9,2002,LAURD810000000000003,1
October,10,4.6,2002,LAURD810000000000003,1
September,09,4.8,2002,LAURD810000000000003,1
August,08,4.8,2002,LAURD810000000000003,1
July,07,5.0,2002,LAURD810000000000003,1
June,06,4.9,2002,LAURD810000000000003,1
May,05,4.5,2002,LAURD810000000000003,1
April,04,4.6,2002,LAURD810000000000003,1
March,03,4.8,2002,LAURD810000000000003,1
February,02,4.9,2002,LAURD810000000000003,1
January,01,5.0,2002,LAURD810000000000003,1
December,12,8.2,2011,LAURD820000000000003,2
November,11,8.1,2011,LAURD820000000000003,2
October,10,8.2,2011,LAURD820000000000003,2
September,09,8.3,2011,LAURD820000000000003,2
August,08,8.5,2011,LAURD820000000000003,2
July,07,8.7,2011,LAURD820000000000003,2
June,06,8.5,2011,LAURD820000000000003,2
May,05,8.1,2011,LAURD820000000000003,2
